family,father,mother,children,childGender,childHeight
001,78.5,67.0,4,male,73.2
001,78.5,67.0,4,female,69.2
001,78.5,67.0,4,female,69.0
001,78.5,67.0,4,female,69.0
002,75.5,66.5,4,male,73.5
002,75.5,66.5,4,male,72.5
002,75.5,66.5,4,female,65.5
002,75.5,66.5,4,female,65.5
003,75.0,64.0,2,male,71.0
003,75.0,64.0,2,female,68.0
004,75.0,64.0,5,male,70.5
004,75.0,64.0,5,male,68.5
004,75.0,64.0,5,female,67.0
004,75.0,64.0,5,female,64.5
004,75.0,64.0,5,female,63.0
005,75.0,58.5,6,male,72.0
005,75.0,58.5,6,male,69.0
005,75.0,58.5,6,male,68.0
005,75.0,58.5,6,female,66.5
005,75.0,58.5,6,female,62.5
005,75.0,58.5,6,female,62.5
006,74.0,68.0,1,female,69.5
007,74.0,68.0,6,male,76.5
007,74.0,68.0,6,male,74.0
007,74.0,68.0,6,male,73.0
007,74.0,68.0,6,male,73.0
007,74.0,68.0,6,female,70.5
007,74.0,68.0,6,female,64.0
008,74.0,66.5,3,female,70.5
008,74.0,66.5,3,female,68.0
008,74.0,66.5,3,female,66.0
009,74.5,66.0,1,female,66.0
010,74.0,65.5,1,female,65.5
011,74.0,62.0,8,male,74.0
011,74.0,62.0,8,male,70.0
011,74.0,62.0,8,female,68.0
011,74.0,62.0,8,female,67.0
011,74.0,62.0,8,female,67.0
011,74.0,62.0,8,female,66.0
011,74.0,62.0,8,female,63.5
011,74.0,62.0,8,female,63.0
012,74.0,61.0,1,female,65.0
013,73.0,67.0,2,male,71.0
013,73.0,67.0,2,female,62.0
014,73.0,67.0,2,male,68.0
014,73.0,67.0,2,male,67.0
015,73.0,66.5,3,male,71.0
015,73.0,66.5,3,male,70.5
015,73.0,66.5,3,female,66.7
016,73.0,65.0,9,male,72.0
016,73.0,65.0,9,male,70.5
016,73.0,65.0,9,male,70.2
016,73.0,65.0,9,male,70.2
016,73.0,65.0,9,male,69.2
016,73.0,65.0,9,female,68.7
016,73.0,65.0,9,female,66.5
016,73.0,65.0,9,female,64.5
016,73.0,65.0,9,female,63.5
017,73.0,64.5,6,male,74.0
017,73.0,64.5,6,male,73.0
017,73.0,64.5,6,male,71.5
017,73.0,64.5,6,male,62.5
017,73.0,64.5,6,female,66.5
017,73.0,64.5,6,female,62.3
018,73.0,64.0,3,female,66.0
018,73.0,64.0,3,female,64.5
018,73.0,64.0,3,female,64.0
019,73.2,63.0,1,female,62.7
020,72.7,69.0,8,male,73.2
020,72.7,69.0,8,male,73.0
020,72.7,69.0,8,male,72.7
020,72.7,69.0,8,female,70.0
020,72.7,69.0,8,female,69.0
020,72.7,69.0,8,female,68.5
020,72.7,69.0,8,female,68.0
020,72.7,69.0,8,female,66.0
021,72.0,68.0,3,male,73.0
021,72.0,68.0,3,female,68.5
021,72.0,68.0,3,female,68.0
022,72.0,67.0,3,male,73.0
022,72.0,67.0,3,male,71.0
022,72.0,67.0,3,female,67.0
023,72.0,65.0,7,male,74.2
